Domain,SDOH_Topic,Variable_Name,Year
Identifier,,YEAR,2009
6. Geography,,TRACTFIPS,2009
6. Geography,,COUNTYFIPS,2009
6. Geography,,STATEFIPS,2009
6. Geography,,STATE,2009
6. Geography,,COUNTY,2009
6. Geography,,REGION,2009
6. Geography,,TERRITORY,2009
1. Social context,Demographics,ACS_TOT_POP_WT,2009
1. Social context,Demographics,ACS_TOT_POP_US_ABOVE1,2009
1. Social context,Demographics,ACS_TOT_POP_ABOVE5,2009
1. Social context,Demographics,ACS_TOT_POP_ABOVE15,2009
1. Social context,Demographics,ACS_TOT_POP_ABOVE16,2009
1. Social context,Demographics,ACS_TOT_POP_16_19,2009
1. Social context,Demographics,ACS_TOT_POP_ABOVE25,2009
1. Social context,Demographics,ACS_TOT_CIVIL_POP_ABOVE18,2009
1. Social context,Demographics,ACS_TOT_CIVIL_VET_POP_ABOVE25,2009
1. Social context,Demographics,ACS_TOT_OWN_CHILD_BELOW17,2009
2. Economic context,Employment,ACS_TOT_CIVILIAN_LABOR,2009
2. Economic context,Employment,ACS_TOT_CIVIL_EMPLOY_POP,2009
2. Economic context,Employment,ACS_TOT_WORKER_HH,2009
2. Economic context,Employment,ACS_TOT_WORKER_NWFH,2009
2. Economic context,Poverty,ACS_TOT_POP_POV,2009
1. Social context,Living conditions,ACS_TOT_GRANDCHILDREN_GP,2009
4. Physical infrastructure,Housing,ACS_TOT_HU,2009
1. Social context,Demographics,ACS_TOT_HH,2009
1. Social context,Demographics,ACS_AVG_HH_SIZE,2009
1. Social context,Demographics,ACS_TOT_CIVIL_VET_POP,2009
1. Social context,Demographics,ACS_PCT_FEMALE,2009
1. Social context,Demographics,ACS_PCT_MALE,2009
1. Social context,Immigration,ACS_PCT_CTZ_NATURALIZED,2009
1. Social context,Immigration,ACS_PCT_CTZ_NONUS_BORN,2009
1. Social context,Immigration,ACS_PCT_CTZ_US_BORN,2009
1. Social context,Immigration,ACS_PCT_FOREIGN_BORN,2009
1. Social context,Immigration,ACS_PCT_NON_CITIZEN,2009
1. Social context,Immigration,ACS_PCT_NONCTN_1990,2009
1. Social context,Immigration,ACS_PCT_NONCTN_1999,2009
