"Domain","SDOH_Topic","Variable_Name"
"Identifier","","YEAR"
"6. Geography","","TRACTFIPS"
"6. Geography","","COUNTYFIPS"
"6. Geography","","STATEFIPS"
"6. Geography","","STATE"
"6. Geography","","COUNTY"
"6. Geography","","REGION"
"6. Geography","","TERRITORY"
"1. Social context","Demographics","ACS_TOT_POP_WT"
"1. Social context","Demographics","ACS_TOT_POP_US_ABOVE1"
"1. Social context","Demographics","ACS_TOT_POP_ABOVE5"
"1. Social context","Demographics","ACS_TOT_POP_ABOVE15"
"1. Social context","Demographics","ACS_TOT_POP_ABOVE16"
"1. Social context","Demographics","ACS_TOT_POP_16_19"
"1. Social context","Demographics","ACS_TOT_POP_ABOVE25"
"1. Social context","Demographics","ACS_TOT_CIVIL_POP_ABOVE18"
"1. Social context","Demographics","ACS_TOT_CIVIL_VET_POP_ABOVE25"
"1. Social context","Demographics","ACS_TOT_OWN_CHILD_BELOW17"
"2. Economic context","Employment","ACS_TOT_CIVILIAN_LABOR"
"2. Economic context","Employment","ACS_TOT_CIVIL_EMPLOY_POP"
"2. Economic context","Employment","ACS_TOT_WORKER_HH"
"2. Economic context","Employment","ACS_TOT_WORKER_NWFH"
"2. Economic context","Poverty","ACS_TOT_POP_POV"
"1. Social context","Living conditions","ACS_TOT_GRANDCHILDREN_GP"
"4. Physical infrastructure","Housing","ACS_TOT_HU"
"1. Social context","Demographics","ACS_TOT_HH"
"1. Social context","Demographics","ACS_AVG_HH_SIZE"
"1. Social context","Demographics","ACS_TOT_CIVIL_VET_POP"
"1. Social context","Demographics","ACS_PCT_FEMALE"
"1. Social context","Demographics","ACS_PCT_MALE"
"1. Social context","Immigration","ACS_PCT_CTZ_NATURALIZED"
"1. Social context","Immigration","ACS_PCT_CTZ_NONUS_BORN"
"1. Social context","Immigration","ACS_PCT_CTZ_US_BORN"
"1. Social context","Immigration","ACS_PCT_FOREIGN_BORN"
"1. Social context","Immigration","ACS_PCT_NON_CITIZEN"
"1. Social context","Immigration","ACS_PCT_NONCTN_1990"
"1. Social context","Immigration","ACS_PCT_NONCTN_1999"
"1. Social context","Immigration","ACS_PCT_NONCTN_2000"
"1. Social context","Demographics","ACS_PCT_API_LANG"
"1. Social context","Demographics","ACS_PCT_ENGL_NOT_ALL"
"1. Social context","Demographics","ACS_PCT_ENGL_NOT_WELL"
"1. Social context","Demographics","ACS_PCT_ENGL_VERY_WELL"
"1. Social context","Demographics","ACS_PCT_ENGL_WELL"
